datetime,recordid,login,department,location,ClientIP,clientpublicIP,serverip,requestmethod,requestsize,responsesize,transactionsize,url,refererURL,host,urlcategory,urlsupercategory,urlclass,action,reason,respcode,useragent,threatname,threatcategory,threatclass,appname,appclass,pagerisk,filetype,dlpengine,dlpdictionaries,contenttype,proto,devicehostname,deviceowner,totaltime,cachehit
2024-03-14 08:03:12,4530,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.131,93.184.157.10,GET,1402,59537,60939,https://slack.com/api/v2/items,,slack.com,Instant Messaging,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,KIM-LT-11,d.kim,3,TCP_HIT
2024-03-14 08:03:52,4743,m.chen,Finance,HQ-SanFrancisco,10.12.7.88,198.51.100.144,93.184.82.103,GET,946,44130,45076,https://github.com/api/v2/items,,github.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,CHEN-LT-24,m.chen,5,TCP_HIT
2024-03-14 08:09:28,4439,s.patel,Marketing,HQ-SanFrancisco,10.12.4.102,198.51.100.40,93.184.200.239,GET,1244,72976,74220,https://outlook.office365.com/api/v2/items,,outlook.office365.com,Webmail,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,PATEL-LT-40,s.patel,75,TCP_MISS
2024-03-14 08:13:12,4399,a.rivera,Engineering,HQ-SanFrancisco,10.12.4.31,198.51.100.200,93.184.245.149,GET,1501,10014,11515,https://stackoverflow.com/search,,stackoverflow.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,RIVERA-LT-40,a.rivera,15,TCP_HIT
2024-03-14 08:13:41,4432,s.patel,Marketing,HQ-SanFrancisco,10.12.4.102,198.51.100.33,93.184.197.232,GET,2281,62304,64585,https://salesforce.com/,,salesforce.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,PATEL-LT-33,s.patel,74,TCP_MISS
2024-03-14 08:14:19,4430,l.novak,HR,HQ-SanFrancisco,10.12.9.14,198.51.100.31,93.184.79.74,GET,747,18617,19364,https://github.com/search,,github.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,NOVAK-LT-31,l.novak,9,TCP_HIT
2024-03-14 08:21:39,4624,l.novak,HR,HQ-SanFrancisco,10.12.9.14,198.51.100.25,93.184.69.157,GET,520,0,520,https://aws.amazon.com/,,aws.amazon.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,304,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,NOVAK-LT-25,l.novak,65,TCP_MISS
2024-03-14 08:24:19,4436,m.chen,Finance,HQ-SanFrancisco,10.12.7.88,198.51.100.37,93.184.77.136,GET,993,77844,78837,https://slack.com/search,,slack.com,Instant Messaging,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,CHEN-LT-37,m.chen,8,TCP_HIT
2024-03-14 08:26:04,4561,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.162,93.184.17.117,GET,1237,68442,69679,https://github.com/api/v2/items,,github.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,KIM-LT-02,d.kim,12,TCP_HIT
2024-03-14 08:29:09,4644,l.novak,HR,HQ-SanFrancisco,10.12.9.14,198.51.100.45,93.184.247.73,GET,2064,55715,57779,https://aws.amazon.com/assets/app.js,,aws.amazon.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,NOVAK-LT-05,l.novak,7,TCP_MISS
