cip	user	dept	httpmethod	requesturl	hostname	statuscode	eventtime	sentbytes	receivedbytes	category	policyaction	blockreason	timetaken	tcpstatus	useragentheader	malwarename
10.12.4.55	j.okafor	Engineering	GET	https://docs.google.com/api/v2/items	docs.google.com	200	2024-03-14T08:00:43Z	400	79100	Web Based Productivity	Allowed	Allowed	35	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://slack.com/api/v2/items	slack.com	200	2024-03-14T08:02:50Z	2497	68524	Instant Messaging	Allowed	Allowed	88	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://news.ycombinator.com/search	news.ycombinator.com	200	2024-03-14T08:10:45Z	777	17646	News and Media	Allowed	Allowed	5	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://slack.com/	slack.com	200	2024-03-14T08:11:53Z	1049	80016	Instant Messaging	Allowed	Allowed	47	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://slack.com/search	slack.com	204	2024-03-14T08:17:50Z	922	0	Instant Messaging	Allowed	Allowed	40	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://outlook.office365.com/	outlook.office365.com	200	2024-03-14T08:19:47Z	1452	60191	Webmail	Allowed	Allowed	6	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://linkedin.com/	linkedin.com	301	2024-03-14T08:20:21Z	756	29413	Social Networking	Allowed	Allowed	25	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://news.ycombinator.com/search	news.ycombinator.com	200	2024-03-14T08:22:08Z	2153	82710	News and Media	Allowed	Allowed	3	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://linkedin.com/search	linkedin.com	200	2024-03-14T08:34:24Z	1170	67023	Social Networking	Allowed	Allowed	53	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://aws.amazon.com/search	aws.amazon.com	200	2024-03-14T08:34:51Z	2195	77106	Professional Services	Allowed	Allowed	7	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://linkedin.com/api/v2/items	linkedin.com	200	2024-03-14T08:36:30Z	302	52489	Social Networking	Allowed	Allowed	45	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://linkedin.com/api/v2/items	linkedin.com	200	2024-03-14T08:47:20Z	481	41757	Social Networking	Allowed	Allowed	31	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://salesforce.com/search	salesforce.com	200	2024-03-14T08:51:43Z	1058	79502	Business Applications	Allowed	Allowed	24	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.102	s.patel	Marketing	GET	https://salesforce.com/api/v2/items	salesforce.com	200	2024-03-14T08:57:22Z	2179	70513	Business Applications	Allowed	Allowed	32	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://aws.amazon.com/assets/app.js	aws.amazon.com	200	2024-03-14T08:58:53Z	798	9596	Professional Services	Allowed	Allowed	65	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
